Store Nbr	Store Name	Store Type Descr	Open Sunday Flag	Street Address	City	State	Zip Code	MDSE Major Zone	MDSE Sub Zone	Square Footage	Subdiv	Region	District	Open Date	Expansion Size SQFT	Expansion Open Date	Dry Run Date	Regular Warehouse	Assembly Warehouse	Circular Warehouse	Distribution Warehouse	WPM Warehouse	Store Prototype Nbr	IDC	IDC Desc	Port	Port Desc
859	LAKE WALES FL	BASE STR Supercenter	Y	2000 STATE ROAD 60 E	LAKE WALES	FL	33898	30	36	193235	1A	9	116	11/12/1985	79192	05/19/1999	11/12/1985	6020	6020	6020	6020	6014	172	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
860	DELAND FL	BASE STR Supercenter	Y	1699 N WOODLAND BLVD	DELAND	FL	32720	30	36	210400	1A	9	94	12/31/1985	84443	10/29/2003	12/31/1985	7035	7035	7035	7035	6014	192	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
861	LUBBOCK TX	BASE STR Supercenter	Y	4215 S LOOP 289	LUBBOCK	TX	79423	50	54	199765	1B	44	71	11/12/1985	124631	06/26/1996	11/12/1985	6012	6012	6012	6012	6008	188	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
862	HINESVILLE GA	BASE STR Supercenter	Y	751 W OGLETHORPE HWY	HINESVILLE	GA	31313	30	36	208720	1A	3	29	12/31/1985	93072	07/19/2000	12/31/1985	6010	6010	6010	6010	6014	192	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
863	ROANOKE AL	BASE STR Supercenter	Y	4180 US HWY 431	ROANOKE	AL	36274	40	45	111075	1A	1	10	10/15/1985	40280	03/17/2004	10/15/1985	6006	6006	6006	6006	6014	107	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
864	VIDALIA GA	BASE STR Supercenter	Y	3109 E 1ST ST	VIDALIA	GA	30474	40	46	204167	1A	3	28	10/29/1985	94335	10/11/2000	10/29/1985	6010	6010	6010	6010	6014	0	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
865	NEW BRAUNFELS TX	BASE STR Supercenter	Y	1209 S INTERSTATE 35	NEW BRAUNFELS	TX	78130	40	44	204129	1B	8	87	01/21/1986	85513	07/10/1996	01/21/1986	6016	6016	6016	6016	6005	188	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
866	MOBILE (S), AL	BASE STR Supercenter	Y	5245 RANGELINE SERVICE RD S	MOBILE	AL	36619	30	35	202982	1A	1	1	06/30/1988	106747	10/15/1997	06/30/1988	6011	6011	6011	6011	6005	189	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
867	SCOTTSBLUFF NE	BASE STR Supercenter	Y	3322 AVENUE I	SCOTTSBLUFF	NE	69361	70	73	203623	1N	51	429	03/05/1986	111401	10/30/2002	03/05/1986	6019	6019	6019	6019	6029	192	6060	SOUTHGATE-STORAGE	3020	SOUTHGATE-FLOW
868	CARLSBAD NM	BASE STR Supercenter	Y	2401 S CANAL ST	CARLSBAD	NM	88220	50	53	185551	1M	46	386	03/05/1986	82462	10/14/1998	03/05/1986	6012	6012	6012	6012	6008	172	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
869	ALAMOSA CO	BASE STR Supercenter	Y	3333 CLARK ST	ALAMOSA	CO	81101	80	83	186799	1M	47	388	01/21/1986	70912	04/18/2001	01/21/1986	6019	6019	6019	6019	6029	173	6060	SOUTHGATE-STORAGE	3020	SOUTHGATE-FLOW
870	JASPER IN	BASE STR Supercenter	Y	4040 N NEWTON ST	JASPER	IN	47546	60	65	204043	1F	23	580	10/22/1985	109725	08/18/1999	10/22/1985	6066	6066	6066	6066	6022	192	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
871	MOUNTAIN VIEW MO	BASE STR Wal-Mart	Y	101 W US HIGHWAY 60	MOUNTAIN VIEW	MO	65548	60	65	33752	1N	40	335	10/01/1985	29808	07/08/1988	10/01/1985	6069	6069	6069	6069	6008	30	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
872	PEARLAND TX	BASE STR Supercenter	Y	1919 N MAIN ST	PEARLAND	TX	77581	30	34	203091	1B	6	62	04/01/1986	114743	09/14/2005	04/01/1986	7036	7036	7036	7036	6005	195	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
873	TAOS NM	BASE STR Wal-Mart	Y	926 PASEO DEL PUEBLO SUR	TAOS	NM	87571	80	83	74939	1M	46	375	03/04/1986	54668	03/02/1993	03/04/1986	6012	6012	6012	6012	6008	0	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
874	NATCHEZ MS	BASE STR Supercenter	Y	314 SGT. S. PRENTISS	NATCHEZ	MS	39120	40	45	199026	1A	14	141	11/12/1985	78622	09/13/1995	11/12/1985	6011	6011	6011	6011	6005	188	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
